Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,Fin_S,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
4035,6.796000656,9.921576157,574.3858794,1718.122606,LowClb,16466.2195,1211393.698,1211393.698,0.050792792,1.5,3.960802252,0.962068159,0.607754841,0.962105963,2.955750843,0.728761884,1,574.3858794,449.3619228,0,52.2544,522.1314794,0.469690718,2.85990146,0.84741654,5.934636291,1.188536109,57.43255168,4.023987116,0,0.012836619
4036,8.173150872,9.745627526,203776.8451,499391.2377,LowClb,9702.714003,4972753.148,4972753.148,0.167215112,1.5,458.3284052,3.868982658,0.446233341,3.868966112,414.2173799,1.749149325,Fuselage too big,203776.8451,34479.54555,0,52.2544,203724.5907,4.986223612,541.4533939,148216.8293,4.357402685,33.32514421,20377.67504,66.40583081,0,0.012882634
4037,3.708347948,6.847723332,4009.762188,13102.32808,LowAcc,49992.12974,3926927.232,3926927.232,0.07022162,1.5,32.5109127,1.437765473,0.235666871,1.437709838,28.43509606,1.767393548,Fuselage too big,4009.762188,3432.877888,0,52.2544,3957.507788,1.09650425,28.8098216,76.04279534,2.3012522,5.977257593,400.9664783,9.423099365,0,0.01269071
4038,15.13597775,15.01473398,83891.92433,225883.6104,LowClb,15675.94716,5083626.569,5083626.569,0.079262128,1.5,291.1041518,6.495737682,0.719934117,6.492967808,263.7327941,1.571786468,Fuselage too big,83891.92433,38289.87245,0,52.2544,83839.66993,145.3806193,1054.049124,35829.32258,7.030050355,35.53680076,8389.183866,89.27938219,0,0.015060868
4039,1.114149897,2.804647695,251.6539367,598.8297295,LowClb,34112.85774,1832235.358,1832235.358,0.112794426,1.5,1.697209487,1.027856219,0.062070227,1.027842152,0.930939922,0.424354098,1,251.6539367,164.8411432,0,52.2544,199.3995367,0.038066358,1.582567694,0.078581949,0.606106602,0.520829771,25.15810528,6.561405464,0,0.012730353
4040,3.382934191,7.041283541,5609.967317,17718.47234,LowClb,17824.03896,4675471.072,4675471.072,0.068374058,1.5,44.13419943,1.407218895,0.293082222,1.407172607,38.95970651,1.76022135,Fuselage too big,5609.967317,4802.964723,0,52.2544,5557.712917,1.188679505,41.15872901,129.2875213,2.861904629,7.477504817,560.988669,11.77238755,0,0.012797643
4041,4.411551547,2.560511676,711.4721438,2094.859496,LowClb,60604.56987,1143889.593,1143889.593,0.353931697,1.5,10.80277774,0.552990202,0.524902455,0.553005878,7.525344407,0.804940255,Fuselage too big,711.4721438,570.5548596,0,52.2544,659.2177438,0.016060453,2.40129633,2.824414281,5.125594976,1.386749628,71.13939456,5.756644406,0,0.012729565
4042,9.109646474,6.677549087,216522.8802,539912.1172,LowClb,8572.752245,3497412.134,3497412.134,0.258609506,1.5,524.3439932,1.031906785,0.85619779,1.031909512,475.075928,1.76323345,Fuselage too big,216522.8802,46508.27143,0,52.2544,216470.6258,1.761410869,739.2090105,147425.4357,8.360645004,44.1418511,21652.27958,91.15342536,0,0.012703549
4043,16.90860127,13.11080252,109458.6542,256921.3369,LowClb,6381.033852,4908464.951,4908464.951,0.102619858,1.5,292.3212009,3.002475256,1.013246083,3.002376617,265.0836172,1.578096069,Span too big,109458.6542,47756.18346,0,52.2544,109406.3998,41.75426395,1119.743391,49393.08837,9.894198397,42.25790577,10945.85547,97.60896905,0,0.013764936
4044,12.13672326,11.5994425,9174.357845,28644.49799,LowAcc,33102.90296,1490783.278,1490783.278,0.071835918,1.5,112.0769074,2.25861446,0.749692204,2.258596331,99.1490685,1.75886856,Fuselage too big,9174.357845,6947.814211,0,52.2544,9122.103445,2.022258091,57.74544645,1160.67799,7.320633686,10.68718769,917.4295488,18.39334137,0,0.012828355
4045,11.13731226,12.30083801,2010.353196,6726.110801,LowClb,10195.23211,1881199.319,1881199.319,0.053510051,1.5,19.69642812,1.826622754,1.015278708,1.826557609,16.50135823,1.42853234,Span too big,2010.353196,1702.326952,0,52.2544,1958.098796,0.971281923,10.06925231,23.62075547,9.914046684,3.444358677,201.0274526,6.711909676,0,0.0127863
4046,17.09434016,13.17209953,2892.209824,9764.646065,LowClb,24662.21853,1607173.38,1607173.38,0.068300278,1.5,22.59433732,2.544374245,1.426871638,2.544145327,19.53863191,1.678630854,Span too big,2892.209824,2458.983916,0,52.2544,2839.955424,3.327970336,19.65311854,41.99221785,13.93319087,4.679103403,289.2143803,8.158203816,0,0.013323247
4047,19.55696207,16.96651145,373.2513262,953.3649088,LowClb,1201.956181,1908810.196,1908810.196,0.004824284,0.186271562,3.551547157,3.592751731,0.967497728,3.579670858,2.326611083,0.53984935,Span too big,373.2513262,252.6446154,0,52.2544,320.9969262,9.6018146,4.94285887,0.643910113,9.447472468,0.74996844,37.31834218,5.632656875,0,0.015287281
4048,13.72038362,8.801682252,39407.1116,103769.1491,LowClb,4918.083347,3100173.752,3100173.752,0.128509023,1.5,176.3909383,3.174540498,0.849720751,3.17455129,159.653057,1.576892562,Fuselage too big,39407.1116,26317.72848,0,52.2544,39354.8572,16.67893264,529.792774,8455.45299,8.297397676,27.66136982,3940.704753,58.52655806,0,0.013946693
4049,19.91227695,9.648568135,85593.23195,268480.8879,LowClb,10862.81526,3030415.45,3030415.45,0.155421896,1.5,363.0507266,4.281608281,1.345347093,4.28160481,328.7960882,1.791899803,Fuselage too big,85593.23195,37112.49789,0,52.2544,85540.97755,2.009953042,458.4209522,39286.22865,13.13711572,37.07889277,8559.314182,72.27727345,0,0.012636939
4050,8.469478059,7.256310932,8251.331293,27938.85996,LowClb,7531.879323,1944862.616,1944862.616,0.112457005,1.5,45.04581644,1.817956854,0.473611019,1.818041109,40.32439535,1.618160835,Fuselage too big,8251.331293,6964.099036,0,52.2544,8199.076893,3.876845134,93.0606723,280.3036889,4.624741672,10.40516149,825.1252925,17.56787236,0,0.013582602
4051,1.505063189,2.262734901,139.5457463,249.8652708,LowClb,10054.25665,564382.0634,564382.0634,0.181137531,1.5,1.336889815,0.621768738,0.145157811,0.621793578,0.677963644,0.265829815,1,139.5457463,63.21532891,0,52.2544,87.2913463,0.018340178,0.83114078,0.03102151,1.417444588,0.258971199,13.9448003,7.561438109,0,0.012860718
4052,7.063729679,9.009592609,964.7937269,3049.675607,LowClb,4524.007201,1704468.953,1704468.953,0.062521893,1.5,6.656888298,1.36912693,0.508641696,1.369117613,5.333164612,0.974064183,Fuselage too big,964.7937269,792.3795925,0,52.2544,912.5393269,2.185936162,7.068105945,2.78195851,4.966811062,1.869106366,96.47337944,4.8009799,0,0.013457028
4053,8.855433964,8.571231477,5130.836398,17842.77149,LowClb,4628.301152,1536117.873,1536117.873,0.085969127,1.5,23.85244022,1.960064943,0.595127421,1.959895643,21.17268585,1.581457267,Fuselage too big,5130.836398,4366.924921,0,52.2544,5078.581998,17.90431249,77.35194304,76.26553852,5.8113314,7.408080295,513.0768469,13.82426857,0,0.014756497
4054,2.945250246,2.190640414,401.458398,1205.143357,LowClb,4046.915385,645916.015,645916.015,0.305634665,1.5,2.849099203,0.837544921,0.250402788,0.837929261,2.010254149,0.608678494,1,401.458398,297.2762827,0,52.2544,349.203998,0.237963982,3.343681458,0.234447945,2.445146253,0.90082989,40.13859324,4.612969946,0,0.014082561
4055,3.227030686,3.387265079,1113.087854,3754.348611,LowClb,2507.42961,894904.9321,894904.9321,0.178831814,1.5,8.097904437,1.019003598,0.205263943,1.019508256,6.618020218,1.081566019,Fuselage too big,1113.087854,921.2552356,0,52.2544,1060.833454,2.232881853,13.40776056,2.240019303,2.004372098,2.205401305,111.3017843,6.170672542,0,0.015326751
4056,12.95088565,3.708902782,197605.6297,479019.0143,LowClb,2873.753896,1756855.845,1756855.845,0.532011491,1.5,526.7975717,1.554933771,1.45456223,1.555020743,478.1406398,1.580641424,Fuselage too big,197605.6297,70478.70007,0,52.2544,197553.3753,11.81159074,2334.555018,104710.2913,14.20358541,61.40240449,19760.554,181.8419711,0,0.015337313
4057,1.273591939,3.321726915,504.3586676,1585.806866,LowClb,6196.549506,1141203.055,1141203.055,0.099454391,1.5,3.422679129,0.882953984,0.045574176,0.883028589,2.52915553,0.699851825,1,504.3586676,390.0831869,0,52.2544,452.1042676,0.476607909,4.733453265,0.394041738,0.445025097,1.116475483,50.42637772,4.415354505,0,0.013744931
4058,7.325795483,7.058371159,350.5368388,1021.977257,LowClb,13044.74859,502480.2732,502480.2732,0.100457058,1.5,2.165776263,2.166788517,0.31854398,2.166874098,1.432806982,0.559306471,1,350.5368388,252.2588498,0,52.2544,298.2824388,0.157736162,1.92244958,0.182901297,3.110534933,0.791554979,35.04756987,4.797828351,0,0.013013765
4059,1.423094617,2.222857219,587.2258278,1800.673873,LowClb,1220.951498,1170376.817,1170376.817,0.177604196,1.5,2.841697312,1.015355952,0.068885666,1.015794719,2.010691959,0.74661034,1,587.2258278,456.080743,0,52.2544,534.9714278,1.854433684,9.406926243,0.304527838,0.672658355,1.233897893,58.71628539,6.686922429,0,0.015032939
4060,1.488956755,3.409353547,1293.413364,4309.901644,LowClb,2808.625866,1844004.243,1844004.243,0.103236826,1.5,5.253738454,0.631619517,0.122509114,0.63174491,4.32239936,1.159284102,Fuselage too big,1293.413364,1078.579581,0,52.2544,1241.158964,2.826107879,18.46535434,1.663203167,1.196283406,2.462663382,129.3331479,6.617601093,0,0.015021829
4061,10.97586978,6.793470153,1725.536874,5996.741567,LowClb,509.154038,2170798.703,2170798.703,0.014026995,0.360962181,7.971191704,1.505107603,0.678420107,1.510192847,6.749404691,1.334444971,Fuselage too big,1725.536874,1427.129736,0,52.2544,1673.282474,15.47847443,35.90729663,5.473049194,6.624672174,3.085461346,172.5473262,7.021439913,0,0.015018196
4062,2.812733199,5.278716104,273.2683666,646.5210986,LowClb,2627.661887,1419507.116,1419507.116,0.068597098,1.5,2.721659946,0.35570226,0.383579146,0.356734894,1.65333525,0.442214735,1,273.2683666,178.2985682,0,52.2544,221.0139666,2.149673862,2.759642418,0.190580069,3.745593729,0.554240092,27.31862287,5.981777065,0,0.015268301
4063,1.222544615,3.497458777,3426.769677,11834.70789,LowAcc,5273.046981,2552196.228,2552196.228,0.110185104,1.5,24.50292474,0.628867364,0.11924061,0.628859288,21.4355683,1.63020176,Fuselage too big,3426.769677,2944.348768,0,52.2544,3374.515277,1.125157458,36.46257385,34.03092842,1.164366948,5.452747642,342.6694605,9.247798764,0,0.013475926
4064,7.344566534,3.840345558,5355.100616,17884.87605,LowClb,4293.992812,1217074.668,1217074.668,0.28354192,1.5,60.7680508,1.179965571,0.590776617,1.180264009,53.21945432,1.586935566,Fuselage too big,5355.100616,4436.43594,0,52.2544,5302.846216,2.03171347,53.40902574,246.8859829,5.768846438,7.388368878,535.504127,15.40744398,0,0.014767758
4065,2.395173839,5.562695066,2520.835402,8169.404336,LowClb,2128.285168,2911087.415,2911087.415,0.071498015,1.5,17.94079129,0.689437095,0.257033518,0.689258148,15.43118569,1.595745471,Fuselage too big,2520.835402,2122.053102,0,52.2544,2468.581002,17.30731304,37.58903633,24.08623983,2.509894348,4.123867237,252.0735778,8.822741293,0,0.015230484
4066,0.520739693,2.292011769,541.7699347,1572.358596,LowClb,741.8795502,2112490.452,2112490.452,0.151465194,1.5,4.52773353,0.223024051,0.053347797,0.2232967,3.295166916,0.700043069,Fuselage too big,541.7699347,417.7622637,0,52.2544,489.5155347,2.149440133,7.934945007,0.544000062,0.520933364,1.116946405,54.17123334,5.300607394,0,0.015165326
4067,4.359335207,6.103203576,3316.284845,10936.97438,LowClb,4216.840248,2753530.665,2753530.665,0.087299417,1.5,12.24461542,1.127611099,0.36837089,1.127589759,10.67588524,1.581540794,Fuselage too big,3316.284845,2848.705923,0,52.2544,3264.030445,5.989813233,42.96065473,16.65658304,3.597087354,5.134739515,331.6216024,9.350063752,0,0.013977565
4068,1.329375658,3.566665281,469.2084381,1412.750893,LowClb,971.0678876,1307579.183,1307579.183,0.086618518,1.5,4.015702356,0.521579312,0.118885314,0.522355981,2.876274357,0.660176752,Fuselage too big,469.2084381,348.2876732,0,52.2544,416.9540381,6.446628776,7.384812089,0.464769879,1.160897539,1.02045246,46.91196453,5.261617856,0,0.015221716
4069,7.246796966,9.710312982,746.9898234,2349.262355,LowClb,2538.782483,1268409.201,1268409.201,0.054932551,1.5,7.636463506,1.139444393,0.612458343,1.139988012,5.770527876,0.854095004,Fuselage too big,746.9898234,589.1979457,0,52.2544,694.7354234,7.801107462,7.241359943,2.218428329,5.980565295,1.520981786,74.69068834,6.069057677,0,0.015288873
4070,1.036506259,3.641215606,219.5294325,515.2145368,LowClb,3070.091875,1174411.562,1174411.562,0.079742856,1.5,5.063831171,1.577992352,0.056913282,1.57632252,2.469395711,0.392892924,Fuselage too big,219.5294325,131.7395828,0,52.2544,167.2750325,1.05887982,2.617143195,0.255269559,0.555749796,0.463835986,21.94677746,8.62251957,0,0.015274324
4071,1.985653169,2.758728614,578.9561017,1837.137198,LowClb,1977.465529,892355.1205,892355.1205,0.167090486,1.5,3.55646769,0.730313097,0.150239599,0.730761917,2.687746844,0.754270071,1,578.9561017,452.1858589,0,52.2544,526.7017017,1.259511925,6.933835167,0.455515149,1.467067505,1.253568481,57.88945702,5.241570647,0,0.015316861
4072,5.674824493,5.339535752,1109.460829,3530.061499,LowClb,3504.838246,1267589.065,1267589.065,0.127190827,1.5,10.66270231,1.308154266,0.490621595,1.308303638,8.483851162,1.047713416,Fuselage too big,1109.460829,919.6433558,0,52.2544,1057.206429,1.078075953,8.166451732,4.509255155,4.790847438,2.097041491,110.9390369,5.968230596,0,0.014133556
4073,1.091476759,1.056861988,6904.329605,22906.14865,LowClb,2999.754802,2959397.339,2959397.339,0.487106091,1.5,32.08663129,0.557262248,0.107529672,0.557299492,28.63334547,1.578151512,Fuselage too big,6904.329605,5956.961759,0,52.2544,6852.075205,0.573271842,107.4275711,70.26856401,1.050011368,8.93299919,690.4243171,16.42216979,0,0.014541522
4074,4.357693424,7.770937021,10194.69568,34067.14073,LowAcc,6447.02699,2918450.106,2918450.106,0.075509032,1.5,69.89542299,2.205367813,0.195927686,2.205266188,62.6344416,1.752664483,Fuselage too big,10194.69568,8389.826202,0,52.2544,10142.44128,3.477262917,105.1368729,591.0806598,1.913204928,12.0428999,1019.461912,19.48925588,0,0.013011213
