,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type,Winglet,Wing_folding
20,59.0,1.8311976910041607,4.87909520126981,0.0,13.0,2.394481283422459,0.35,0.0,198.7768625954527,471.74952568942314,LowAcc,45.0,119068.04349397456,119068.04349397456,0.024950363940724616,0.28044,11.239916205881821,2.7614413654080368,0.7392481381937698,0.2300314232816453,0.5379614468571979,0.15358090899679055,0.2263702557272744,2.7614413654080368,3.0,0.0,0.34648964230101137,3.0,1,1,Titan,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,198.7768625954527,0.27,H-tail,yes,yes
21,60.0,1.7491138111252094,4.913020516294217,0.0,13.8,2.49012192513369,0.35,0.0,187.58504631398893,426.1481289922232,LowAcc,45.0,119068.04349397456,119068.04349397456,0.023207779507507964,0.27707,11.938669096298717,2.689221385658408,0.7208506054615778,0.23449523425896943,0.5634443251805513,0.1559563959121141,0.23014479762111564,2.689221385658408,3.0,0.0,0.32837786074808195,3.0,1,1,Titan,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,187.58504631398893,0.27,H-tail,yes,yes
22,61.0,1.7867376522605194,5.107481739860025,0.0,14.6,2.58576256684492,0.35,0.0,189.5798405823734,429.69605448203646,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022917813468583834,0.27412,11.961001444390355,2.694068381372282,0.7220853435854034,0.24623911821238353,0.6313620874739312,0.15316984167997869,0.24107590011422306,2.694068381372282,3.0,0.0,0.32962457653419014,3.0,1,1,Titan,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,189.5798405823734,0.27,H-tail,yes,yes
23,62.0,1.7949729027407841,5.257621392056305,0.0,15.4,2.68140320855615,0.35,0.0,188.95290376107178,421.7597018556013,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02229145745872447,0.27196,12.200189265487431,2.682711214600438,0.7191921850972076,0.2536861491794696,0.7088199597671254,0.15426740109048037,0.24774035450506193,2.682711214600438,3.0,0.0,0.32669586635558123,3.0,1,1,Titan,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,188.95290376107178,0.27,H-tail,yes,yes
24,63.0,1.7492692990891345,5.323360089759473,0.0,16.200000000000003,2.77704385026738,0.35,0.0,186.18660065652566,405.6519037865403,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02181983585512423,0.27498,12.602294619710575,2.6582512345295237,0.7129611769254596,0.24665451679501915,0.7879824085090453,0.1537109247981452,0.24048723059916755,2.6582512345295237,3.0,0.0,0.3202973587424505,3.0,1,1,Titan,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,186.18660065652566,0.27,H-tail,yes,yes
25,64.0,1.654558301985585,5.30353572004139,0.0,17.0,2.872684491978609,0.35,0.0,183.1092167083844,385.18201487805015,LowAcc,45.0,119068.04349397456,119068.04349397456,0.021642952482225655,0.28791,13.302713677186466,2.6318557985914395,0.7062371249617938,0.2141294190009914,0.8584031764553286,0.14739591831954466,0.2091584939713066,2.6318557985914395,3.0,0.0,0.3132459669758731,3.0,1,1,Titan,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,183.1092167083844,0.27,H-tail,yes,yes
26,88.0,1.6163551534660776,4.139246867093146,0.0,10.6,2.107559358288769,0.35,0.0,178.60891054715978,411.0743010755685,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02419204249768689,0.28548,11.800574508220876,2.666671219482994,0.7151061089695153,0.07262406373899205,0.0899286583306887,0.14933688544262175,0.07357110111144174,2.666671219482994,3.0,0.0,0.3225142781756038,3.0,1,1,Titan,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,0.27,Inverted_V,yes,yes
27,89.0,1.5242419266077738,4.168495887406946,0.0,11.4,2.2032,0.35,0.0,169.38845329739837,372.6046374177295,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022828243680948795,0.28749,12.593610091867184,2.607224052646931,0.699962360639841,0.07651080473843226,0.097397408091618,0.15002043311012134,0.07761995106256603,2.607224052646931,3.0,0.0,0.30651945093470956,3.0,1,1,Titan,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,0.27,Inverted_V,yes,yes
28,90.0,1.612130725928154,4.43486131196044,0.0,12.2,2.2988406417112297,0.35,0.0,173.95401363833702,382.54664482635695,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022224306334999007,0.28472,12.811198500788334,2.6298721639210125,0.705731807958045,0.08552794001652719,0.10486598634048591,0.17283567730420143,0.08649957816510753,2.6298721639210125,3.0,0.0,0.3127096266013546,3.0,1,1,Titan,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,0.27,Inverted_V,yes,yes
29,91.0,1.5368707600005613,4.469823249302739,0.0,13.0,2.394481283422459,0.35,0.0,174.10297675751696,381.0216125122614,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02318918855561812,0.29267,12.620967710795291,2.6258260127962205,0.7047010793699754,0.09054415146998966,0.1123344256570543,0.22716333330609514,0.09144942987860785,2.6258260127962205,3.0,0.0,0.3116127556880753,3.0,1,1,Titan,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,174.10297675751696,0.27,Inverted_V,yes,yes
30,93.0,1.4717524718032715,4.6354704279423204,0.0,14.6,2.58576256684492,0.35,0.0,173.83346443120183,351.0828438450605,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02176474839568524,0.30527,14.025891521930864,2.551757721015881,0.7655273163047642,0.07294959213519608,0.1272709811832587,0.14985878675262368,0.07505568110736402,1.9097339622038558,2.0,0.0,0.2978469398981235,3.0,1,1,Titan,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,173.83346443120183,0.27,Inverted_V,yes,yes
31,94.0,1.424573788936802,4.683848455023577,0.0,15.4,2.68140320855615,0.35,0.0,166.6254392827779,323.39667480720294,LowAcc,45.0,119068.04349397456,119068.04349397456,0.020324383838008185,0.30218,14.867855400117952,2.4911298295776203,0.7473389488732861,0.07528008924142507,0.1347391317730396,0.15102028420012584,0.0776862309721089,1.8621346981539297,2.0,0.0,0.28400130633147835,3.0,1,1,Titan,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,166.6254392827779,0.27,Inverted_V,yes,yes
32,95.0,1.4042640661327814,4.769599340757153,0.0,16.200000000000003,2.77704385026738,0.35,0.0,164.50537864272704,310.6686367593392,LowAcc,45.0,119068.04349397456,119068.04349397456,0.019579105189133778,0.30265,15.457805506247952,2.468031401440616,0.7404094204321848,0.07582195779118114,0.1422072147105958,0.14999606857073775,0.07854232827018946,1.8440000054580583,2.0,0.0,0.2785453107692867,3.0,1,1,Titan,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,164.50537864272704,0.27,Inverted_V,yes,yes
33,96.0,1.4134406462396962,4.901886472173222,0.0,17.0,2.872684491978609,0.35,0.0,164.7980695959194,306.07291163350504,LowAcc,45.0,119068.04349397456,119068.04349397456,0.019051609526412418,0.30276,15.891570713763851,2.4626048392107442,0.7387814517632232,0.07758931249650476,0.1496752397541722,0.1501604993955713,0.08051073042694154,1.839739584019419,2.0,0.0,0.2772479474580877,3.0,1,1,Titan,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,164.7980695959194,0.27,Inverted_V,yes,yes
