Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
1177,0.7035736,2.760769509,0,10.83305042,2.07449713,0.35,0,150.8378334,272.2461668,LowAcc,4462778.692,14.14169231,0.031688628,0.542829465,17.13010318,1.427587519,2.386478159,0.715943448,0.19021916,0.644733972,0.151985257,0.187706472,1.779972142,2,0,2,0.258362019,3,1,1,Titan,150.8378334,63.0448596,0,52.2544,98.58343342,5.125214758,7.119955986,0.081987526,3.147866024,0.283320609,15.07710837,4.68853699,0,0.014583564,0,Conventional,yes,no,0,winter
1178,1.108932209,3.669164112,0,12.14029602,2.442687539,0.35,0,139.3409057,218.4342607,LowAcc,4039977.634,12.8019166,0.019495281,0.388229984,19.91404885,0.710912829,2.283867496,0.685160249,0.093354657,0.555857998,0.147509382,0.096302855,1.699411992,2,0,1,0.230469796,3,1,1,Titan,139.3409057,52.01782689,0,52.2544,87.08650572,7.165041463,6.111915788,0.079933276,2.71393564,0.238704526,13.92832096,4.816243612,0,0.014583564,0,Conventional,no,yes,0,winter
1179,0.738936064,2.835079614,0,10.87736383,1.695711313,0.35,0,148.4773361,268.0502981,LowAcc,4536419.605,14.37504628,0.028490339,0.492379804,17.28234248,1.249675936,2.376828585,0.713048576,0.149242206,0.361782592,0.152711755,0.148114215,1.772396213,2,0,1,0.255868571,3,1,1,Titan,148.4773361,61.73493529,0,52.2544,96.22293607,5.713758586,7.097089766,0.081254241,1.766376795,0.279220964,14.84123029,4.694486575,0,0.014583564,0,Conventional,yes,yes,0,fall
1180,0.816209595,2.978620579,0,10.86997826,1.991499771,0.35,0,153.5801455,282.8024929,LowAcc,4462419.812,14.14055509,0.027105397,0.476503278,17.57964611,1.245896496,2.408027106,0.722408132,0.153009061,0.478743688,0.153940821,0.151993443,1.79689033,2,0,6,0.263845209,3,1,1,Titan,153.5801455,65.17668094,0,52.2544,101.3257455,6.108552984,7.2792794,0.086743995,2.337430714,0.292411645,15.35112802,4.678934218,0,0.014583564,0,Conventional,yes,yes,0,winter
1181,0.685237508,3.11457915,0,14.15655618,2.40118886,0.35,0,137.1735585,224.3907782,LowAcc,4233827.306,13.41618915,0.028543937,0.563165917,19.7297912,1.614544071,2.295996457,0.688798937,0.172626502,0.324916632,0.14536612,0.169985228,1.708934501,2,0,2,0.233940137,3,1,1,Titan,137.1735585,52.81772968,0,52.2544,84.91915853,5.376009047,6.301124345,0.074888033,1.586381469,0.244105532,13.71172944,4.792607422,0,0.014583564,0,Conventional,no,no,0,winter
1186,0.448178031,2.593320876,0,15.00589654,1.981787315,0.35,0,149.8514852,257.0070822,LowAcc,4360932.012,13.81895965,0.049471009,0.886594882,17.92150398,2.856294365,2.397322666,0.7191968,0.254034934,0.440019225,-0.021455621,0.249537015,1.78848622,2,0,2,0.261135825,3,1,1,Titan,149.8514852,64.66476294,0,52.2544,97.59708522,3.731722426,7.007862394,0.080243924,2.148361383,0.287906542,14.97855404,4.683088008,0,0.014583564,0,Conventional,yes,no,0,spring
1187,0.44686831,2.733376477,0,16.7193484,2.58572554,0.35,0,147.9633417,251.7826196,LowAcc,4273879.707,13.54310755,0.05014999,0.914120292,18.22772613,3.120683169,2.387568446,0.716270534,0.197672557,0.370565672,0.008700425,0.194232368,1.780828133,2,0,4,0.258642238,3,1,1,Titan,147.9633417,63.16560753,0,52.2544,95.70894171,4.011149135,6.866247849,0.080493945,1.809259539,0.283782684,14.78988654,4.687930927,0,0.014583564,0,Conventional,yes,no,0,spring
1188,0.513664074,2.500241732,0,12.16983829,2.398540008,0.35,0,146.5341265,265.5406068,LowAcc,4608895.113,14.60470731,0.03853612,0.677234857,17.5740281,1.993387416,2.373113691,0.711934107,0.154613246,0.284574056,0.153283988,0.152650069,1.769479631,2,0,1,0.254902141,3,1,1,Titan,146.5341265,61.56476238,0,52.2544,94.27972649,4.501420085,7.111241768,0.076555503,1.389411821,0.277637802,14.64704955,4.697064012,0,0.014583564,0,Conventional,yes,yes,0,spring
1191,0.987128168,3.194549349,0,10.33821734,2.18839776,0.35,0,145.3524911,249.5698888,LowAcc,4309426.122,13.65574734,0.021917998,0.399837404,18.2424238,0.770770407,2.339238437,0.701771531,0.129672311,0.56185359,0.151528287,0.130477029,1.742883998,2,0,4,0.245914327,3,1,1,Titan,145.3524911,57.5880807,0,52.2544,93.09809109,6.483653742,6.666493254,0.081481451,2.743208676,0.263070629,14.52900446,4.728514616,0,0.014583564,0,Conventional,yes,yes,0,winter
1192,1.093215558,3.215756811,0,9.459334704,2.641351429,0.35,0,153.8222578,275.0686976,LowAcc,4422228.113,14.01319528,0.021214084,0.362831062,17.10331057,0.433797547,2.390680619,0.717204186,0.139671781,0.633116073,0.150572632,0.140699365,1.783271515,2,0,2,0.259440443,3,1,1,Titan,153.8222578,63.92436874,0,52.2544,101.5678578,6.964378235,7.138307838,0.088370333,3.091142485,0.285100401,15.37533293,4.686273288,0,0.014583564,0,Conventional,yes,yes,0,winter
1193,1.402964544,4.066330499,0,11.78578874,2.078911883,0.35,0,139.3967471,213.7657105,LowAcc,3841251.209,12.17219056,0.017097814,0.339573576,19.86064268,0.361139335,2.277822667,0.6833468,0.145306104,0.697259257,0.143081374,0.146962658,1.694666166,2,0,3,0.228720588,3,1,1,Titan,139.3967471,51.01140652,0,52.2544,87.14234712,7.674832275,5.955505385,0.082729216,3.404316846,0.235998557,13.933912,4.829062753,0,0.014583564,0,Conventional,no,no,0,summer
1194,0.547716817,2.863346973,0,14.9689687,1.759283758,0.35,0,143.4103394,254.5223633,LowAcc,4379411.979,13.87751914,0.03704704,0.688440083,18.58286316,2.173392505,2.351726325,0.705517898,0.190576508,0.257754045,0.155122143,0.187214504,1.752688302,2,0,6,0.249265341,3,1,1,Titan,143.4103394,58.96571445,0,52.2544,91.15593937,4.746792673,6.773772025,0.078037309,1.258465097,0.268468775,14.33492163,4.715183852,0,0.014583564,0,Conventional,no,no,0,spring
