Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season,t_mission,Sensor_Swath_width,Aeroshell_Diameter
35,0.68569591,3.41421008,0,17,1.460846448,0.35,0,139.661294,238.6614067,LowAcc,400000,12.98201777,0.029065652,0.61196352,21.05452559,1.938909508,2.320492267,0.69614768,0.06789851,0.084203546,0.044378411,0.039825135,0.15236717,0.069183021,1.728166285,2,0,3,0.240796428,3,1,1,Titan,139.661294,55.36815007,0,52.2544,87.40689403,6.221077652,6.34415577,0.079897597,0.411117597,0.254902543,13.96031917,4.752690071,0,0.014583564,0,0,V-tail,yes,yes,0,summer,0.009763686,100,5
36,0.528627635,2.945255127,0,16.40952381,2.096173568,0.35,0,138.8353287,239.9017896,LowAcc,400000,13.90982243,0.035749832,0.687341219,19.22641804,2.336665158,2.321868897,0.696560669,0.056112746,0.068603847,0.050631733,0.017972114,0.15135269,0.057157559,1.729247085,2,0,6,0.241175957,3,1,1,Titan,138.8353287,55.53228203,0,52.2544,86.58092874,5.167688767,6.572067804,0.075346423,0.334953218,0.255505088,13.87776626,4.750735582,0,0.014583564,0,0,V-tail,no,yes,0,spring,0.030374783,30,4.25
37,0.68569591,2.970289668,0,12.86666667,2.519724981,0.35,0,154.3521815,290.2133933,LowAcc,400000,14.17781775,0.028679158,0.5670585,19.77249481,1.577161705,2.430257557,0.729077267,0.102073009,0.16196962,0.138178235,0.023791385,0.13901848,0.102249764,1.814343569,2,0,6,0.269384876,3,1,1,Titan,154.3521815,67.44344621,0,52.2544,102.0977815,5.926374952,7.430414535,0.088238803,0.790804712,0.301701552,15.42826319,4.67395401,0,0.014583564,0,0,V-tail,yes,yes,0,spring,0.008940188,100,2.9
38,0.37155936,2.513266623,0,17,2.80209259,0.35,0,168.0825142,351.3384658,LowAcc,400000,14.31050734,0.064834523,1.11853531,17.25215609,3.811453775,2.547520271,0.764256081,0.187619316,0.205563936,0.169444843,0.036119093,0.164087368,0.184580763,1.906407118,2,0,5,0.296900218,3,1,1,Titan,168.0825142,80.343975,0,52.2544,115.8281142,4.118681279,8.387402539,0.09544936,1.003650742,0.349390538,16.80022699,4.714754241,0,0.014583564,0,0,V-tail,yes,yes,0,summer,0.008857293,100,4.85
39,0.423915452,2.637470512,0,16.40952381,1.460846448,0.35,0,153.5051317,295.3745592,LowAcc,400000,14.56625491,0.047918626,0.864198027,18.03469973,3.145414217,2.4376588,0.73129764,0.051591092,0.058858962,0.044378411,0.014480551,0.155823673,0.052213057,1.820154322,2,0,6,0.271204106,3,1,1,Titan,153.5051317,68.25748225,0,52.2544,101.2507317,4.700107006,7.585018765,0.084455644,0.287374537,0.304775325,15.34360761,4.673327026,0,0.014583564,0,0,V-tail,no,yes,0,summer,0.00870178,100,5
40,0.37155936,2.513266623,0,17,2.307949274,0.35,0,141.6208562,254.294526,LowAcc,400000,14.4182938,0.051924863,0.928403349,17.87974587,3.417167157,2.350833948,0.705250185,0.061491652,0.065152921,0.044378411,0.02077451,0.154875196,0.061619948,1.751987693,2,0,2,0.249027376,3,1,1,Titan,141.6208562,58.75718455,0,52.2544,89.36645624,4.175503075,6.887269321,0.073565787,0.318104327,0.268084136,14.15609482,4.716066659,0,0.014583564,0,0,V-tail,no,yes,0,winter,0.087910784,10,3.2
41,1.052188552,3.132156708,0,9.323809524,2.80209259,0.35,0,163.0327436,317.0098832,LowAcc,400000,15.33215079,0.020073988,0.333764799,16.62673087,0.30537402,2.4800945,0.74402835,0.067886004,0.108017434,0.081898341,0.026119093,0.149358011,0.072273687,1.853470805,2,0,1,0.281407888,3,1,1,Titan,163.0327436,72.94131527,0,52.2544,110.7783436,7.756368443,8.145080468,0.096995994,0.527387147,0.322224781,16.29563265,4.678755299,0,0.014583564,0,0,V-tail,no,yes,0,spring,0.027556984,30,5
42,1.418681194,3.51991701,0,8.733333333,1.672622154,0.35,0,158.6609305,302.3663081,LowAcc,400000,14.74901279,0.015257506,0.260330295,17.06244109,-0.031230516,2.446918352,0.734075506,0.064546989,0.095546336,0.056885055,0.038661281,0.150249542,0.071284613,1.827424043,2,0,4,0.273463068,3,1,1,Titan,158.6609305,69.27609863,0,52.2544,106.4065305,7.982623996,7.729006958,0.097081171,0.466497932,0.308607818,15.85880063,4.673229785,0,0.014583564,0,0,V-tail,no,no,0,spring,0.008593955,100,3.95
43,0.37155936,2.513266623,0,17,1.672622154,0.35,0,148.352534,281.2738933,LowAcc,400000,14.56497847,0.054139885,0.953043006,17.60334385,3.504580146,2.401727825,0.720518347,0.04945891,0.056316775,0.044378411,0.011938364,0.157021059,0.049917098,1.791944732,2,0,6,0.262254197,3,1,1,Titan,148.352534,64.36055484,0,52.2544,96.09813401,4.267772562,7.30161666,0.078902763,0.274962496,0.289763075,14.82874344,4.681234615,0,0.014583564,0,0,V-tail,no,no,0,summer,0.08702543,10,5
44,0.37155936,2.513266623,0,17,2.872684492,0.35,0,138.7319656,244.7230024,LowAcc,400000,13.95905568,0.053324753,0.970290289,18.19587045,3.498087612,2.3284495,0.69853485,0.102657556,0.126736762,0.106911627,0.019825135,0.154767038,0.101586907,1.734413549,2,0,4,0.242982003,3,1,1,Titan,138.7319656,56.29421213,0,52.2544,86.47756557,3.990731106,6.620341329,0.071307588,0.618782884,0.25837937,13.86743505,4.741792555,0,0.014583564,0,0,V-tail,yes,no,0,winter,0.090802956,10,5
