,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season,t_mission,Sensor_Swath_width,Aeroshell_Diameter
36,107,1.33414985,3.340653084,0,8.364849743,2.441815515,0.35,0,157.2189595,293.2548704,LowAcc,400000,14.77130232,0.016170802,0.273481632,16.91206313,-0.232656709,2.425339268,0.72760178,0.084308159,0.179928998,0.15358897,0.026340028,0.150123966,0.090328986,1.810482196,2,0,1,0.268169133,3,1,1,Titan,157.2189595,66.95955743,0,52.2544,104.9645595,8.749379189,7.580279382,0.093246604,0.87849005,0.299653749,15.71472094,4.674648615,0,0.014583564,0,0.0,V-tail,yes,no,0,winter,0.085809869,10,4.766519182
37,108,0.463474891,2.806008878,0,16.98837624,1.683498808,0.35,0,146.6073102,251.9516559,LowAcc,400000,13.90772644,0.044489105,0.828099583,18.61353644,2.994900221,2.386571166,0.71597135,0.070767711,0.079850128,0.05276532,0.027084808,0.174680863,0.070813521,1.780045163,2,0,4,0.258385935,3,1,1,Titan,146.6073102,62.69649256,0,52.2544,94.35291018,4.617162002,6.927956198,0.080632856,0.389862355,0.283360035,14.65437583,4.688484773,0,0.014583564,0,0.0,V-tail,yes,yes,0,summer,0.091138082,10,4.414158641
38,110,1.158751109,3.321052033,0,9.518339631,2.777718499,0.35,0,159.8761724,302.5893687,LowAcc,400000,14.43287536,0.019452527,0.335392454,17.24158834,0.249912256,2.450698317,0.735209495,0.11736744,0.229827149,0.160856838,0.068970311,0.150346461,0.119841602,1.830391713,2,0,6,0.274379883,3,1,1,Titan,159.8761724,69.75337694,0,52.2544,107.6217724,7.986204591,7.685862071,0.095817504,1.122114088,0.31016823,15.98024177,4.673403665,0,0.014583564,0,0.0,V-tail,yes,no,0,fall,0.087821968,10,3.836646539
39,113,0.673841185,2.708399192,0,10.88598671,1.462027805,0.35,0,147.7865414,269.6060151,LowAcc,400000,14.78004282,0.028815344,0.508383422,17.64280253,1.250279687,2.380354867,0.71410646,0.126563713,0.195961065,0.162001588,0.033959477,0.151782513,0.126052481,1.775164715,2,0,1,0.256782569,3,1,1,Titan,147.7865414,62.00634535,0,52.2544,95.53214138,5.521791869,7.207780951,0.079771858,0.956765433,0.280721222,14.77219213,4.692189004,0,0.014583564,0,0.0,V-tail,yes,no,0,fall,0.085759123,10,4.386096503
40,115,0.729681505,2.854389516,0,11.16588464,2.033223007,0.35,0,145.9446415,262.9256172,LowAcc,400000,14.58266607,0.026905641,0.476262496,17.70121354,1.129150021,2.365698434,0.70970953,0.079256729,0.125443451,0.099672632,0.025770819,0.150746855,0.080843982,1.763657875,2,0,1,0.25296202,3,1,1,Titan,145.9446415,60.39336411,0,52.2544,93.69024145,5.974735387,7.050002837,0.079768756,0.612468389,0.274469406,14.58814722,4.702701781,0,0.014583564,0,0.0,V-tail,yes,no,0,winter,0.086919875,10,2.955180127
41,116,0.572626877,2.802017996,0,13.71103098,2.528197988,0.35,0,149.1380135,255.7543817,LowAcc,400000,14.24791829,0.034842722,0.649649673,18.64520412,2.007188076,2.400836308,0.720250892,0.08936078,0.123014281,0.091684713,0.031329568,0.09494,0.089372487,1.791244798,2,0,2,0.262028246,3,1,1,Titan,149.1380135,64.2656576,0,52.2544,96.88361348,4.917489412,7.124593711,0.082452201,0.600608146,0.289387641,14.90724793,4.681593276,0,0.014583564,0,0.0,V-tail,yes,no,0,winter,0.088962014,10,4.104010014
42,123,1.116299949,3.203042657,0,9.190614292,1.792870891,0.35,0,173.6922271,355.2274458,LowAcc,400000,15.33065128,0.020307339,0.335230634,16.50785629,0.33333787,2.554325303,0.766297591,0.103846234,0.200594894,0.168729004,0.03186589,0.150189295,0.106704573,1.911749784,2,0,6,0.298419122,3,1,1,Titan,173.6922271,81.15932709,0,52.2544,121.4378271,7.98242387,8.76157707,0.107654121,0.979389761,0.352097191,17.3607583,4.720016154,0,0.014583564,0,0.0,V-tail,no,yes,0,fall,0.082679039,10,4.402780463
43,131,0.498463417,2.739441935,0,15.05535183,2.065191394,0.35,0,138.6859673,241.0248289,LowAcc,400000,13.89110883,0.038928745,0.730114262,18.75514509,2.435077902,2.32219077,0.696657231,0.090850204,0.122345172,0.097443665,0.024901507,0.152921964,0.090583863,1.729499789,2,0,5,0.24126461,3,1,1,Titan,138.6859673,55.60533764,0,52.2544,86.4315673,4.70710975,6.565123371,0.073300901,0.59734127,0.255645907,13.86284207,4.750282821,0,0.014583564,0,0.0,V-tail,yes,no,0,spring,0.091247108,10,4.378606516
44,134,0.926943256,3.57711968,0,13.80428103,2.043282783,0.35,0,135.7363808,216.5045305,LowAcc,400000,12.86604955,0.022202118,0.447938207,20.17547156,1.052199465,2.280683136,0.684204941,0.06939195,0.10678639,0.062940987,0.043845403,0.151807072,0.072405978,1.696911935,2,0,4,0.229549991,3,1,1,Titan,135.7363808,51.03861074,0,52.2544,83.48198076,7.128466881,6.077700108,0.077354736,0.521376666,0.237280246,13.56370003,4.822907791,0,0.014583564,0,0.0,V-tail,yes,no,0,winter,0.098516915,10,4.329550294
45,135,0.867599843,3.117504154,0,11.20197546,1.596264867,0.35,0,144.5118639,255.671865,LowAcc,400000,14.05399405,0.023473689,0.427021692,18.19150358,0.87774884,2.350352293,0.705105688,0.088739015,0.156520163,0.134202051,0.022318112,0.152824581,0.090624264,1.751609542,2,0,2,0.248898841,3,1,1,Titan,144.5118639,58.70499004,0,52.2544,92.2574639,6.402695515,6.860625296,0.08096029,0.764198141,0.267876459,14.44498707,4.71654753,0,0.014583564,0,0.0,V-tail,yes,no,0,summer,0.090189558,10,3.139890706
