drbatt,dtbatt,EQ_W_Wing,EQ_W_Therm,Foil0,Foil1,FOS,Fuse_d,Fuse_L,Fuse_Lt,Ht_S,NACA0,NACA1,Nz,Panels,PassN,PfracBattery,PfracRTG,PfracSpanels,Planet,PropBlade,PropD,PropN,PropulsionN,rho_b,rho_s,RTGfuelfrac,RTGfueltype,tstart,tmission,Type,Tail_type,Winglet,Ult_n,Ult_s,Vm,Vt_S,Wing_AR,Wing_dhl,Wing_S,Wing_Sweep,Wing_TR,Wing_fin_S,Wing_fin_TR,Cruise_Alt,Min_Alt,Cruise_V,RoC_min_alt,RoC_max_alt,Accel,Wing_folding,Num_Folds,Season,CASE,D_shell,Sensor_swath_width,Area_coverage
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.12435065107509975,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.023553282961355625,12.741935483870968,2.3636294635156117,1.0411289407302453,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,21.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.12845012308856457,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.024315699242677152,13.129032258064516,2.4099071933758838,1.0754518728422313,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,22.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.13254959510202932,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.025078081067409403,13.516129032258064,2.456184923236157,1.1097748049542175,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,23.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.13664906711549418,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.025840431394156572,13.903225806451612,2.5024626530964293,1.1440977370662035,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,24.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.14074853912895902,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.026602752852147398,14.29032258064516,2.548740382956702,1.1784206691781898,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,25.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.14484801114242382,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.027365047785840244,14.67741935483871,2.595018112816975,1.2127436012901758,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,26.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.14894748315588868,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.028127318292469207,15.064516129032258,2.641295842677247,1.2470665334021618,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,27.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.15304695516935352,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.02888956625380112,15.451612903225806,2.6875735725375196,1.2813894655141482,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,28.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.15714642718281827,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.02965179336311912,15.838709677419354,2.7338513023977926,1.3157123976261342,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,29.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.16124589919628315,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.03041400114824936,16.225806451612904,2.7801290322580647,1.3500353297381202,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,30.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.165345371209748,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.031176190991291996,16.612903225806452,2.8264067621183377,1.3843582618501065,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,31.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.1694448432232128,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.03193836414559381,17.0,2.8726844919786094,1.4186811939620925,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,32.0,,,
